iter	MultiClass
0	0.7579663613
1	0.4661908127
2	0.3038014996
3	0.2190943938
4	0.1623268471
5	0.1338127523
6	0.1050773667
7	0.08490762296
8	0.07057004553
9	0.06576701242
10	0.05772137581
11	0.049217647
12	0.04480201539
13	0.04146060825
14	0.03668473445
15	0.03356142159
16	0.03156907964
17	0.02975505151
18	0.02786029647
19	0.02566826235
20	0.02529675932
21	0.02402595708
22	0.02290746434
23	0.0222459202
24	0.02084176903
25	0.01969668823
26	0.01904500608
27	0.0188302254
28	0.01804569388
29	0.01764387488
30	0.01677266849
31	0.01663183504
32	0.01609678575
33	0.01508706825
34	0.01474675236
35	0.01466256676
36	0.01457435296
37	0.01388379306
38	0.01375897713
39	0.01318170395
40	0.01247599597
41	0.01233866084
42	0.01169124299
43	0.01162528637
44	0.01126135735
45	0.01106142125
46	0.01100903266
47	0.01085977851
48	0.01043732132
49	0.01038595122
50	0.01011258253
51	0.009915259337
52	0.009779547309
53	0.009399478402
54	0.009095100829
55	0.008940171447
56	0.008751828971
57	0.00850350443
58	0.008243219572
59	0.00818575371
60	0.007975081494
61	0.0078469896
62	0.007760736818
63	0.007722451605
64	0.007612710645
65	0.007384537646
66	0.007123073441
67	0.00687597498
68	0.006734157887
69	0.006562116074
70	0.006529493751
71	0.006454260371
72	0.006305734308
73	0.006270861021
74	0.006051750905
75	0.005921432434
76	0.005857475237
77	0.005813884194
78	0.005664720958
79	0.005556748257
80	0.00553528234
81	0.005496844856
82	0.005388651051
83	0.005360234675
84	0.005271689075
85	0.005174021311
86	0.005115147958
87	0.005096154193
88	0.005042149765
89	0.00494174347
90	0.004909155199
91	0.004896333282
92	0.004833783726
93	0.004797221951
94	0.004735363884
95	0.004672587935
96	0.004630548741
97	0.004584822566
98	0.004508923366
99	0.004426146602
